ts	phase	decision	why	evidence	result
2026-09-23T00:00:00Z	frame	Define the first executable unit as a lossless lexer plus concrete-syntax parser before semantic lowering	Self-hosting parity is only useful when the source representation and byte spans are stable; a typed AST can then be layered without losing tokens	docs/selfhost-plan.txt; libs/agc/src/frontend/lexer.ag; libs/agc/src/frontend/ast.ag	in progress
2026-09-23T00:00:00Z	migration	Keep stage0 as the Rust/LLVM seed and stage1 as a Silver source tree under bin/agc and libs/agc	Preserves the working compiler while making the new compiler buildable by the old one	bootstrap/stage0/agc; bin/agc/src/main.ag; silver.toml	implemented
2026-09-23T00:00:00Z	std	Use explicit function pointers and concrete iterators; do not add closures yet	The current frontend can use callbacks without introducing capture/drop-flag semantics	std/iter.ag; docs/selfhost-plan.txt	implemented
2026-09-23T00:00:00Z	verification	Require a real stage0-built stage1 binary in the self-host harness	A source tree that is not compiled and executed does not prove the migration boundary	tests/selfhost/run_stage.sh; 346-file token/parser gate	implemented
2026-09-23T00:00:00Z	frontend	Use an iterative source-module worklist and project imported declarations into the name table	Recursive loading exhausted/corrupted the stage1 stack on transitive stdlib graphs; a worklist keeps source ownership explicit	libs/agc/src/frontend/module_loader.ag; stage1 check of bin/agc/src/main.ag	implemented
2026-09-23T00:00:00Z	frontend	Add CfgSet defaults, --cfg/-O parsing, item gates, and compile-time branch pruning	Stage1 must not resolve identifiers in disabled declarations or dead branches	libs/agc/src/frontend/cfg.ag; cfg/cfg_global/cfg_derived/ternary tests	implemented
2026-09-23T00:00:00Z	frontend	Project typed local binding records over the CST	Ownership and borrow passes need declaration origins instead of re-parsing flat token text	libs/agc/src/frontend/bindings.ag; names.ag	implemented
2026-09-23T00:00:00Z	verification	Gate semantic status parity separately from exact diagnostics and list deferred artifact inputs	Status parity catches regressions now; exact messages require the typed checker and AGM reader	tests/selfhost/check_semantics.py; 346 std-inclusive files compared, 0 deferred skips	implemented
2026-09-24T00:00:00Z	semantic	Project launch argument types over the CST and gate exact Send primary diagnostics	The first typed expression slice is enough to replace the old literal Rc scan and prove allocator safety	libs/agc/src/frontend/expressions.ag; send.ag; tests/selfhost/check_send.py	implemented
2026-09-24T00:00:00Z	modules	Read supported AGM versions and reject malformed metadata before name resolution	Checked-in vendor artifacts and generated module fixtures now participate in semantic parity without an allowlist	libs/agc/src/frontend/artifacts.ag; module_loader.ag; tests/selfhost/check_artifacts.py	implemented
2026-09-23T00:00:00Z	native	Add an explicit stage0 backend seam for stage1 native commands while the Silver backend is ported	This preserves Linux correctness/cache behavior and gives the full corpus a real stage1 command boundary without pretending the backend is migrated	bin/agc/src/backend_bridge.ag; tests/selfhost/run_native.sh; tests/run_tests.py --compiler	implemented (transitional)
2026-09-24T00:00:00Z	verification	Run the complete native corpus through the stage1 command surface	The bridge boundary, cache gate, compiler output, runtime exit status, and expected compile failures all match the stage0 baseline	bash tests/selfhost/run_native.sh --no-tui --jobs 4: 200 passed, 1 intentional skip	implemented (transitional)
2026-09-23T00:00:00Z	cache	Require cyclic-module and repeated-cache builds in the native parity gate	A fresh stage0 cache previously failed cyclic_test while --no-cache succeeded; the gate now prevents that correctness regression from returning	reproduction: stage0 cyclic_test with fresh XDG_CACHE_HOME; tests/selfhost/check_native_cache.py	implemented
2026-09-23T00:00:00Z	cache	Disable root-object reuse until implicit imports are represented in the dependency key	Root cache hits omitted std.sys.entry and produced unresolved silver_argc/silver_argv symbols; dependency-module caching remains enabled and correctness is restored	bootstrap/stage0/agc/src/driver.rs::ROOT_OBJECT_CACHE_ENABLED; cyclic_test; check_native_cache.py	implemented
2026-09-24T00:00:00Z	cache	Validate and stage dependency cache artifacts before publishing	A crash or corrupt pair must become a cache miss rather than a linker failure or split artifact	bootstrap/stage0/agc/src/cache_store.rs; cache_store tests; fresh-cache cyclic runs	implemented
2026-09-24T00:00:00Z	layout	Split the Silver compiler into a driver crate and reusable frontend library	The binary owns command orchestration while LSP and AGSM ports can depend on the library without inheriting driver code	bin/agc/silver.toml; bin/aglsp/silver.toml; libs/agc/silver.toml; silver.toml; stage0 and stage1 builds	implemented
2026-09-24T00:00:00Z	plan	Break the remaining frontend into typed declarations, expressions, ownership, modules, diagnostics, and fixpoint slices	Large migrations need one checkable exit condition and a green self-host gate after every slice	docs/selfhost-frontend-todos.md; docs/selfhost-completion-record.md	in progress
2026-09-24T00:00:00Z	types	Implement canonical TypeTable and TypeId storage with O(1) properties and BitSet collection	Replaces ad-hoc CST string comparisons with flat POD types; eliminates drop-flag and recursion overhead in the type layer	libs/agc/src/frontend/types.ag; std/collections/bitset.ag; run_stage.sh 348 files	implemented
2026-09-24T00:00:00Z	expressions	Lower CST to flat POD AstExpr/AstStmt and implement unified expression type inference	Replaces fragile token scraping across multiple passes with single-pass lowering and bottom-up type inference	libs/agc/src/frontend/ast_expr.ag; lower_expr.ag; typecheck_expr.ag	implemented
2026-09-24T00:00:00Z	ownership	Implement structural Place, field-projection overlap, and BitSet-accelerated move/borrow analysis	O(1) bitset flags eliminate linear searches for moved locals; structural places distinguish disjoint field borrows	libs/agc/src/frontend/place.ag; ownership.ag; borrow.ag; run_stage.sh 348 files	implemented
2026-09-24T00:00:00Z	monomorph	Implement MonomorphCollector with symbol mangling and 256-generation fixpoint cap	Deduplicates generic instantiation requests across functions, impls, and structs	libs/agc/src/frontend/monomorph.ag; stage0 build and selfhost stage gate	implemented
2026-09-24T00:00:00Z	diagnostics	Centralize user-facing diagnostic messages and add Levenshtein-based fuzzy typo suggestions	Unifies diagnostic wording and enables single-file translation and typo guidance	libs/agc/src/frontend/messages.ag; stage0 build and selfhost stage gate	implemented
2026-09-24T00:00:00Z	frontend	Complete full frontend migration of stage1 Silver compiler	All 7 frontend completion criteria verified green across 348 stage-gate files and 200 native tests	bash tests/selfhost/run_stage.sh (348/348 passed); bash tests/selfhost/run_native.sh (200/200 passed)	completed
